EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
727811,TARRANT CO.,NORTH RICHLAND HILLS,01/21/2018,1558,Hail,0.75, ,0,0,0,0,TX,CST-6, ,121603,C,439,FWD,0,0,Amateur Radio, , , ,0,N,0,N,NORTH RICHLAND HILLS,01/21/2018,1558,32.83,-97.25,32.83,-97.25,"","Severe thunderstorms occurred along a dryline and cold front.",1
727812,TARRANT CO.,HURST,01/21/2018,1607,Hail,0.75, ,0,0,0,0,TX,CST-6, ,121603,C,439,FWD,0,0,Amateur Radio, , , ,0,N,0,N,HURST,01/21/2018,1607,32.82,-97.15,32.82,-97.15,"","Severe thunderstorms occurred along a dryline and cold front.",2
727813,TARRANT CO.,HANDLEY,01/21/2018,1616,Hail,0.75, ,0,0,0,0,TX,CST-6, ,121603,C,439,FWD,0,0,Amateur Radio, , , ,3,NW,3,NW,HANDLEY,01/21/2018,1616,32.7587,-97.2142,32.7587,-97.2142,"","Severe thunderstorms occurred along a dryline and cold front.",3
727815,TARRANT CO.,SOUTHLAKE,01/21/2018,1618,Hail,0.88, ,0,0,0,0,TX,CST-6, ,121603,C,439,FWD,0,0,Amateur Radio, , , ,0,N,0,N,SOUTHLAKE,01/21/2018,1618,32.97,-97.13,32.97,-97.13,"","Severe thunderstorms occurred along a dryline and cold front.",4
727816,TARRANT CO.,HANDLEY,01/21/2018,1628,Hail,0.75, ,0,0,0,0,TX,CST-6, ,121603,C,439,FWD,0,0,Public, , , ,2,WNW,2,WNW,HANDLEY,01/21/2018,1628,32.7423,-97.2137,32.7423,-97.2137,"","Severe thunderstorms occurred along a dryline and cold front.",5
750404,TARRANT CO.,WATAUGA,04/06/2018,1628,Hail,1.00, ,0,0,0,0,TX,CST-6, ,124952,C,439,FWD,0,0,Amateur Radio, , , ,0,N,0,N,WATAUGA,04/06/2018,1628,32.85,-97.27,32.85,-97.27,"Amateur radio reported quarter-sized hail in the city of Watauga, TX.","An upper level storm system and another sweeping cold front ignited a second round of thunderstorms Friday April 6. Some of the storms produced large hail and damaging winds.",6
750405,TARRANT CO.,NORTH RICHLAND HILLS,04/06/2018,1641,Hail,1.00, ,0,0,0,0,TX,CST-6, ,124952,C,439,FWD,0,0,Trained Spotter, , , ,0,N,0,N,NORTH RICHLAND HILLS,04/06/2018,1641,32.83,-97.25,32.83,-97.25,"A trained spotter reported quarter-sized hail in the city of North Richland Hills, TX.","An upper level storm system and another sweeping cold front ignited a second round of thunderstorms Friday April 6. Some of the storms produced large hail and damaging winds.",7
750411,TARRANT CO.,BEDFORD,04/06/2018,1643,Hail,1.00, ,0,0,0,0,TX,CST-6, ,124952,C,439,FWD,0,0,Amateur Radio, , , ,0,N,0,N,BEDFORD,04/06/2018,1643,32.85,-97.13,32.85,-97.13,"Amateur radio reported quarter-sized hail in the city of Bedford, TX.","An upper level storm system and another sweeping cold front ignited a second round of thunderstorms Friday April 6. Some of the storms produced large hail and damaging winds.",8
750406,TARRANT CO.,EULESS,04/06/2018,1652,Hail,2.00, ,0,0,0,0,TX,CST-6, ,124952,C,439,FWD,0,0,Social Media, , , ,0,N,0,N,EULESS,04/06/2018,1652,32.83,-97.08,32.83,-97.08,"A social media report confirmed 2-inch diameter hail in the city of Euless, TX.","An upper level storm system and another sweeping cold front ignited a second round of thunderstorms Friday April 6. Some of the storms produced large hail and damaging winds.",9
750408,TARRANT CO.,EULESS,04/06/2018,1657,Hail,1.00, ,0,0,0,0,TX,CST-6, ,124952,C,439,FWD,0,0,Amateur Radio, , , ,0,N,0,N,EULESS,04/06/2018,1657,32.83,-97.08,32.83,-97.08,"Amateur radio reported quarter-sized hail in the city of Euless, TX.","An upper level storm system and another sweeping cold front ignited a second round of thunderstorms Friday April 6. Some of the storms produced large hail and damaging winds.",10
752093,TARRANT CO.,HICKS,04/13/2018,1524,Hail,0.75, ,0,0,0,0,TX,CST-6, ,124983,C,439,FWD,0,0,Amateur Radio, , , ,2,SSW,2,SSW,HICKS,04/13/2018,1524,32.89,-97.44,32.89,-97.44,"Amateur radio reported penny-sizd hail near Eagle Mountain Lake.","Thunderstorms developed along a dryline the afternoon of April 13 as an upper level disturbance moved overhead, many of which produced hail and some of which produced damaging wind gusts for areas mainly along and east of the Interstate 35/35W corridor.",11
752094,TARRANT CO.,HICKS,04/13/2018,1526,Hail,1.00, ,0,0,0,0,TX,CST-6, ,124983,C,439,FWD,0,0,Public, , , ,2,SSW,2,SSW,HICKS,04/13/2018,1526,32.89,-97.44,32.89,-97.44,"A social media report indicated quarter-sized hail near Eagle Mountain Lake.","Thunderstorms developed along a dryline the afternoon of April 13 as an upper level disturbance moved overhead, many of which produced hail and some of which produced damaging wind gusts for areas mainly along and east of the Interstate 35/35W corridor.",12
752184,TARRANT CO.,CROWLEY,04/13/2018,1540,Hail,0.75, ,0,0,0,0,TX,CST-6, ,124983,C,439,FWD,0,0,Public, , , ,0,N,0,N,CROWLEY,04/13/2018,1540,32.58,-97.32,32.58,-97.32,"A social media report indicated penny-sized hail along the Johnson/Tarrant County line near the city of Crowley, TX.","Thunderstorms developed along a dryline the afternoon of April 13 as an upper level disturbance moved overhead, many of which produced hail and some of which produced damaging wind gusts for areas mainly along and east of the Interstate 35/35W corridor.",13
752185,TARRANT CO.,CROWLEY,04/13/2018,1542,Hail,0.75, ,0,0,0,0,TX,CST-6, ,124983,C,439,FWD,0,0,Emergency Manager, , , ,0,N,0,N,CROWLEY,04/13/2018,1542,32.58,-97.32,32.58,-97.32,"Emergency management reported penny-sized hail at the Crowley Fire Station.","Thunderstorms developed along a dryline the afternoon of April 13 as an upper level disturbance moved overhead, many of which produced hail and some of which produced damaging wind gusts for areas mainly along and east of the Interstate 35/35W corridor.",14
752186,TARRANT CO.,KELLER,04/13/2018,1544,Hail,0.75, ,0,0,0,0,TX,CST-6, ,124983,C,439,FWD,0,0,Public, , , ,0,N,0,N,KELLER,04/13/2018,1544,32.93,-97.25,32.93,-97.25,"A social media report indicated penny-sized hail near the intersection of Park Vista and Highway 170 in the city of Keller, TX.","Thunderstorms developed along a dryline the afternoon of April 13 as an upper level disturbance moved overhead, many of which produced hail and some of which produced damaging wind gusts for areas mainly along and east of the Interstate 35/35W corridor.",15
753296,TARRANT CO.,MANSFIELD,04/13/2018,1639,Hail,0.75, ,0,0,0,0,TX,CST-6, ,124983,C,439,FWD,0,0,Amateur Radio, , , ,0,N,0,N,MANSFIELD,04/13/2018,1639,32.57,-97.13,32.57,-97.13,"Amateur radio reported penny-sized hail in the city of Mansfield, TX.","Thunderstorms developed along a dryline the afternoon of April 13 as an upper level disturbance moved overhead, many of which produced hail and some of which produced damaging wind gusts for areas mainly along and east of the Interstate 35/35W corridor.",16
753393,TARRANT CO.,(FTW)MEACHAM ARPT FT,04/21/2018,1659,Hail,0.88, ,0,0,0,0,TX,CST-6, ,124984,C,439,FWD,0,0,NWS Employee, , , ,2,E,2,E,(FTW)MEACHAM ARPT FT,04/21/2018,1659,32.82,-97.31,32.82,-97.31,"Quarter sized hail was reported at the Fort Worth National Weather Service Office.","Another April cold front brought a round of scattered to numerous showers and thunderstorms on Saturday April 21. Some storms became severe and produced mainly large hail.",17
753395,TARRANT CO.,NORTH RICHLAND HILLS,04/21/2018,1710,Hail,0.75, ,0,0,0,0,TX,CST-6, ,124984,C,439,FWD,0,0,Public, , , ,0,N,0,N,NORTH RICHLAND HILLS,04/21/2018,1710,32.83,-97.25,32.83,-97.25,"A social media report indicated penny-sized hail near the intersection of Trinidad Drive and Westchase Drive in the city of North Richland Hills, TX.","Another April cold front brought a round of scattered to numerous showers and thunderstorms on Saturday April 21. Some storms became severe and produced mainly large hail.",18
753396,TARRANT CO.,NORTH RICHLAND HILLS,04/21/2018,1711,Hail,1.00, ,0,0,0,0,TX,CST-6, ,124984,C,439,FWD,0,0,Public, , , ,0,N,0,N,NORTH RICHLAND HILLS,04/21/2018,1711,32.83,-97.25,32.83,-97.25,"A social media report indicated quarter sized hail in the city of North Richland Hills, TX.","Another April cold front brought a round of scattered to numerous showers and thunderstorms on Saturday April 21. Some storms became severe and produced mainly large hail.",19
753397,TARRANT CO.,HURST,04/21/2018,1715,Hail,0.75, ,0,0,0,0,TX,CST-6, ,124984,C,439,FWD,0,0,Public, , , ,0,N,0,N,HURST,04/21/2018,1715,32.82,-97.15,32.82,-97.15,"A social media report indicated penny-sized hail in the city of Hurst, TX.","Another April cold front brought a round of scattered to numerous showers and thunderstorms on Saturday April 21. Some storms became severe and produced mainly large hail.",20
766974,TARRANT CO.,EULESS,06/06/2018,121,Hail,0.88, ,0,0,0,0,TX,CST-6, ,127857,C,439,FWD,0,0,Amateur Radio, , , ,0,N,0,N,EULESS,06/06/2018,121,32.83,-97.08,32.83,-97.08,"Amateur radio reported nickel sized hail near the intersection of Euless Main Street and Highway 183.","A weak surface boundary coupled with disturbances in northwest flow aloft generated  multiple rounds of thunderstorms. The strongest storms occurred late Tuesday night into early Wednesday morning, when large and damaging hail fell over parts of the Dallas/Ft Worth Metroplex.",21
